User ID,Name,Age,Gender,Balance,Account Type,Credit Score,Country
1,IxNqb3Z924siUFdHIp0/dkcojAklarzsXgnAx/QsBJw=,22,Non-binary,6JsYAOpgomo8vUrb1UAd/w==,Savings,463,Lithuania
2,Ey5n+T8npC4pEt95Fb3Qvw==,40,Non-binary,i3cWSDBu2h+fwuoHLDOeXg==,Business,543,Egypt
3,NzEJQR78gJ4nRvMQHK5CxQ==,62,Non-binary,JaQouLpK2l71qMsS82koBw==,Savings,464,Thailand
4,IOWMslh57qH4g5XlzZnM9A==,52,Non-binary,G47cCe6fUKCmeAkohKlYRw==,Business,441,Guam
5,i9VP9TDHEljLnw2ncWNGhA==,41,Non-binary,gtlU4IvYAt1kpuBhE9pYaA==,Savings,559,Kazakhstan
6,ecuR8t4W7purp86eXXGiUA==,44,Male,/By5ukHL52uDiKFfcPaOKQ==,Checking,395,Moldova
7,UhXv5IXDtWlOZRyTVOsn7Q==,45,Non-binary,3rUU1SYfCHUiIOOSaCmI0Q==,Checking,571,Saudi Arabia
8,a9V+U1PIxSu6zubCVsGwqQ==,20,Male,6e1aFuGZRLTbSf/Tx1/G/w==,Business,555,French Polynesia
9,biND++77jmuxWW4aaOxm4A==,51,Male,j0Ez7hDUfyLbGT5lfucHyA==,Business,766,Cuba
10,gy6yg0N/CccpHnOn153tXQ==,25,Non-binary,UgDRp4SsQ3Gpj/XgeAjpgA==,Checking,711,Montenegro
11,1y51bWK2Yf5K3kTG3r/eSg==,25,Female,Mb0NmBJCiabwD7Ma6biIwQ==,Business,593,Suriname
12,x/Roo3Af2IbD7pCovi5pDw==,67,Non-binary,sGzFtrngOZINQ5l7UDS5TA==,Checking,318,Montenegro
13,nh4NuSyUTJS+B5M9U6jrxgXOpTSmE2vxMZ2dYPYv5Os=,75,Male,dGH6V5LxNwv3U+0nX72axw==,Checking,480,Senegal
14,6t/hFqPKVWQGffHT0YfHnz8HYFcj79MorDiFAv74R1k=,55,Female,DReowEuOvnW1AYZfRGKlgA==,Savings,300,Iran
15,BoubD/Xtzci+yZkyI2fqfg==,34,Female,aEqTzvSamfOyuWZA25tKag==,Checking,582,Argentina
16,c5UQJs7s3rRm0BEAnqX/iQ==,68,Male,rZ3Gh5dE/hSf+Lu9irHufg==,Business,736,Bahrain
17,J1He43N9aPAR73DGjELzaA==,63,Female,dWeW41Y3t7RVTRPZGrfAtg==,Checking,475,Western Sahara
18,AmH/HpOc1Ta326XGBqnj0w==,70,Female,wd1R7kHqAj4iuCzuZ2qWug==,Business,614,Bulgaria
19,jQQ+5FVwswGhGgj365qh9w==,20,Female,5tkdDp0wNrMqsUzffiSJig==,Savings,465,Myanmar
20,nCKtHiAJxp6td8T8HSPaIg==,52,Non-binary,z3Fr7U/KXEnhnd1v7Azz7Q==,Business,459,Kenya
21,MrLqVzyDIrPKq8f17o0vrQ==,33,Non-binary,TIPbLOBkU/JH7OcT5OhmEA==,Savings,835,Monaco
22,jWmATIEEFh8ZkZ+xsQ92HQ==,51,Male,na7LOhfr/F7FvgrdT6E+cg==,Business,396,Mali
23,e23ykj6iYY9iGfoyvTvhug==,46,Female,CVZ2SrGfUgaDYVOGppuGqQ==,Business,319,Lesotho
24,XZX+wJUO+1mdkhM3BEDQ8QGdk/MTSqkor9UllRbXmgY=,67,Male,9kYBawpcS5vhAapH7noGdw==,Checking,845,Panama
25,KebhknqBzoxjcySy1VHlMw==,74,Female,SWdVb8ZAkenJGZ4dtJpIyA==,Savings,697,Bhutan
26,qmdLnKNsuw5qfvjQbLnZHA==,50,Non-binary,xy8mZ29jYH/ZlTlkGCVO3Q==,Checking,458,Nigeria
27,oO5i6k8TIOURmP52M88xJ5TfL8ZnJG+U+SIbivrYNQQ=,53,Non-binary,qx6qwc0+kLUmL/ltBqlPtA==,Business,598,Greece
28,nPdV6k7Ktnkx5Og5b8Tebg==,33,Non-binary,nH16Qpw9EKsriAcxmPJGHg==,Checking,637,Puerto Rico
29,/TG2hWyd6TNq5E+Ur8yrPQ==,23,Male,xzPKh6sPhe5JxqSFVvg8Gg==,Business,800,Greece
30,4+GaONb/dzcQ+bon59x3ZQ==,23,Male,F5m3p6mFIFV62LdhBg9vIw==,Checking,589,Pakistan
31,1hYhXAX99Gakrs5sGouH9A==,23,Male,ypgF01fJr2YtL+43YWinFQ==,Business,400,Greenland
32,4f4cDJvELB0HK6fbENNkjA==,80,Male,lGZUTri2ZwfLChT2B2pxqQ==,Savings,735,Mexico
33,ZchjU4PrilymVGUmnuoULQ==,27,Male,QDkEA9eDNjR1Qyd5kTfMMw==,Savings,401,Sao Tome and Principe
34,A4TMjsRdiVp/UqV9bVxuxwnnMbh6I7JLzUu04w4giyM=,58,Male,62rjsxpfq0cP2HJWzLgtTg==,Business,731,Uruguay
35,L7nCqte496ZHdgNIq1JibA==,49,Female,h4NhpJOjOK9++PvYTL5pkA==,Business,679,Isle of Man
36,rqb97svt/6eUkT8UMVYzByKbVmWCoglbewGagoiIaiw=,79,Female,SGmkLZvEQZQNr/YlLU1XxQ==,Business,354,Denmark
37,3I74decqRATG6JkK/eQ9wg==,64,Male,PD3OrjoylOsGKdkk3GH4cA==,Business,311,Cameroon
38,N9yDSuunp/UbxrOOQDY1Fg==,36,Male,DPqi2QtqOpZz51r0PrY6Rw==,Business,466,Italy
39,9u+VruCEKvN0aJGP7G8J7g==,40,Non-binary,lLb3DoCrzWU/oE8gqTeQkA==,Checking,436,Antigua and Barbuda
40,/qfGc6g0cJvrUymR7UeJ3w==,68,Male,awcI/TjGfQjQJEKxk3Jc7w==,Checking,417,Libyan Arab Jamahiriya
41,I70QKFN/Cgp8GYR8QxE+gg==,73,Male,PT/RglAQuZ2/Lx7pi7fZPQ==,Business,329,Tonga
42,EbSQgcXCPmsdFTVJySyEHA==,44,Female,5mqlBOZ6ZD6PUv2SQK4q/g==,Savings,742,Algeria
43,TDtexfPFv1Pw9K9nAI26IA==,64,Non-binary,SrnCKV+7+EwH8LEQCiCn/w==,Savings,464,New Caledonia
44,1PE7DsdqOROqih4bk/NDIbq3lMbG3So6bSSkNe1/hkI=,42,Male,zrDo9deaEewt9XqwcH1SCg==,Savings,437,Macedonia
45,ylf7QBnaupKMkeztL66ewA==,59,Female,CIrahB6RjDoklcsbDpanKQ==,Savings,307,Norfolk Island
46,jrcIv14/5c+E1ZMdUPb6xw==,28,Male,Q1CmJRFUugvkpiqoGeisFg==,Checking,796,Malaysia
47,Inp+2kjeaLPAt+yO7JNEJg==,25,Female,w7uFdlzKXXym1Oz0JtnPbQ==,Checking,545,Turkey
48,cJwOZudUt2ams4TYePN38hT6sZWd7Py5reYo9hVXW3s=,25,Female,wSTxmGbGXQWTtAc0hTYQLA==,Savings,589,Kyrgyz Republic
49,7uVhXilFIXK/1B6/Ez4mtQ==,69,Non-binary,7nqBOYi9Ivs18sxlpXdY2A==,Checking,531,Slovenia
50,ENf7Z0YGDybA35X0WtD0Mg==,45,Male,hHnBNyGGWkqbAS/A4blT/g==,Business,419,Vietnam
51,TgQt3+BAlmR9I87R2xojeA==,44,Non-binary,LoFfQKPITtw3/quVNLg3jA==,Savings,379,Ireland
52,LNZPiVy8AijGzMYw19zLKw==,59,Non-binary,y4E2gOfKZCNcb7yDnZcTwQ==,Business,536,Slovakia (Slovak Republic)
53,62rUhhIaUJnWthHcoDz1Og==,37,Male,vN+VOcIG4nZ3xc9mpP70oQ==,Checking,599,Pitcairn Islands
54,idLYd+W8m7FkDIL2bjL8qQ==,19,Non-binary,S/TtWolTxLiB8Vzd6Z/pbw==,Savings,649,Liechtenstein
55,eFpF4OuvjBzEkTzMlTSErw==,35,Female,0vVSQBnbqz97q98Ej6cGQQ==,Checking,641,Peru
