User ID,Name,Age,Gender,Balance,Account Type,Credit Score,Country
1,9iHl6DXLkcex9xsvBXr/JPdjE+0J6votYD/7fz2U+ss=,22,Non-binary,UHL2ZL/QQxrWAz2Tn7yP3A==,Savings,463,Lithuania
2,28bCu2pQziRaIx5QDD7WuA==,40,Non-binary,a5PFVRPowyBwTXm2MrUQmw==,Business,543,Egypt
3,jbvNBtyQ+V2dssQUOdGUSw==,62,Non-binary,5Ni1AV7lpYKOsDrfRAWI2Q==,Savings,464,Thailand
4,vHDtt36hybxx658JYGgvKw==,52,Non-binary,AeMN0zbGdxGGR1lW5kPOUw==,Business,441,Guam
5,fSERB9OJ8pydyYD/XziFJA==,41,Non-binary,3UDIKgs7e40VPjM3zv4tCw==,Savings,559,Kazakhstan
6,22YataWpWqbJ01StiPPSHw==,44,Male,gPJeVm2SblSQrbAM1Ah2Xw==,Checking,395,Moldova
7,cg+SPkmGgvDwHjWuxe2LSQ==,45,Non-binary,CSCAKKhNqHZODfCYxyYuKg==,Checking,571,Saudi Arabia
8,fJ5i/UDANjxdS6KHtGT8Lw==,20,Male,Q76flaAn8qgMGpXpQP9ggw==,Business,555,French Polynesia
9,vFRWknHDNL88OHTXKJSXFw==,51,Male,2nN7OnOqEapcK00cNua29A==,Business,766,Cuba
10,FSg3Yy8jNqxJsPozCa6V8Q==,25,Non-binary,LlaOZR2voCOOlI0QZElFkw==,Checking,711,Montenegro
11,j2OWPw43mWZGq93lDptIdw==,25,Female,ueoNflNV7E4jvy11z8glYQ==,Business,593,Suriname
12,ElYx8n6PrCZ3kJnJwc1RGA==,67,Non-binary,scryEq7xkl/c5h+Kmup/vQ==,Checking,318,Montenegro
13,KMx0kw3IOEKpkHSkUAtcFKEfPaIJ4V8TIBFbpWs6A1E=,75,Male,qvaonXuZLN3K4bYbLDTSFg==,Checking,480,Senegal
14,9U4qDE/OUgNHsmLh1ZrTW9eJuv8zmEYQsXXWxsoitmY=,55,Female,nxKa2mAlaQDlF4bT+EhyIg==,Savings,300,Iran
15,5wiW/L+y5NQODBeahDVs8Q==,34,Female,qmuItNIJ/v/fRJOqcqRcFw==,Checking,582,Argentina
16,Do+4lHgvR5Tyf2Of/UuHHw==,68,Male,SocK9HoMlRvTbwe/okMLVg==,Business,736,Bahrain
17,Ejoe62Md5O3p118BO+Xp1A==,63,Female,tigJKXqmN5NKu2mSnfmTuA==,Checking,475,Western Sahara
18,bBxaEBvqWgq2pWyBkj35vQ==,70,Female,dVa2E/PV98Fd20JrT1BI+Q==,Business,614,Bulgaria
19,ul3GPd5iDemyh22IlA3Hhw==,20,Female,Egrp3iemB9cgXauH8KRFxQ==,Savings,465,Myanmar
20,fxYpiR0lCNPXN3d11w82Ow==,52,Non-binary,IhmV2ty8n5nDaMzDsGdHCA==,Business,459,Kenya
21,9leWOTDOUTid1CifE5grTw==,33,Non-binary,EWOprfEqGbFMytWYzquCXg==,Savings,835,Monaco
22,zYdNtreDXqnpXxYvbjIlEQ==,51,Male,ax5JY5WKetwvFDDuRHBc3Q==,Business,396,Mali
23,X9cf+GJweQb2K/FPR/a2RQ==,46,Female,0cjt+7kfh3crPjOln2QBQw==,Business,319,Lesotho
24,XpWzoiHfWuHN5K0hCcxRVdGjvnkbU6U8M+vwsKhCb+I=,67,Male,rIDmN80KbSzpFbCEn3/7BA==,Checking,845,Panama
25,6IeEkPjmjOpxK71xzouiVw==,74,Female,75x3HOq9SH/Ou8IQB0yW/w==,Savings,697,Bhutan
26,GD34R9NjuTFNlnmeouZBGA==,50,Non-binary,KvgVvRLa7hyLgcXthqL8GQ==,Checking,458,Nigeria
27,Et0eqUXywD9DqKteeMspqReN9TnDjwEk1A3QfsPMQGQ=,53,Non-binary,7lFy8ck6svzLo14CfthwCA==,Business,598,Greece
28,FR4QjrfwRkPIOZxZLQWoJQ==,33,Non-binary,mnKnWNXZLN2vnuNZcnlIFQ==,Checking,637,Puerto Rico
29,TZLB5mQZvXfCczowjYl7RQ==,23,Male,wTzyq/pq61FqFaSeDsIH+g==,Business,800,Greece
30,WxFXGOEDH66kw4E5Up+yPQ==,23,Male,dpKnI0bJ/0DIXPhKlRWxXA==,Checking,589,Pakistan
31,+89AiniL0E0XGdYqIWiLkA==,23,Male,DBLFrvXWif5Uylzc4leh8g==,Business,400,Greenland
32,49bLFs8x6IeakGCizZKr6g==,80,Male,IMf2DnGHfjiBLGbGja1Uyg==,Savings,735,Mexico
33,YXJ63gKYJpwJwiW3Ns7/FA==,27,Male,psSl2d7DVGOjrPA38qVprg==,Savings,401,Sao Tome and Principe
34,O1iqdtfFyeZmjBL7yHPARThIdxa1GNP0yau71r9nazY=,58,Male,1yLWz5tIgyNISgP3/qvtug==,Business,731,Uruguay
35,8Ig9Z6rwotxB8gza4FSlYA==,49,Female,JtDqKm7HVN+3JENrUuBcTQ==,Business,679,Isle of Man
36,DpnHm81T6WghG538TftgCH77zDhreLozrpNpFzmWxMk=,79,Female,Fc9j7wawDDkUJoONn9Ycuw==,Business,354,Denmark
37,Mukypup0vnDYyv9nvb/z8g==,64,Male,3YdTaRrJfnWqMe2mtMyO0A==,Business,311,Cameroon
38,s8+gyBONHoAE7Bs5xBgjkA==,36,Male,T39XnnbtvZPqvdUYBsTBkQ==,Business,466,Italy
39,q1lysR7iSXVwLTfVQTIa2g==,40,Non-binary,1Zn/GFev9q+9ETgFcf3Xwg==,Checking,436,Antigua and Barbuda
40,isTSvWnfS5ZXs/KDWjX3gQ==,68,Male,maRkphj4xok0qGBKZWi/3Q==,Checking,417,Libyan Arab Jamahiriya
41,AsuREo7e+0ggGIDoCyFajQ==,73,Male,Sb15ONijWdlZkNItYe7h2g==,Business,329,Tonga
42,o0c72kAAQSd1RAMfAYW8qA==,44,Female,Ld2QIA71lJrB8J3/LD6vOQ==,Savings,742,Algeria
43,oR/SVJHXZQKHq4MxXdYL6w==,64,Non-binary,+X7SyE6IAj0xqFKNDuHYiQ==,Savings,464,New Caledonia
44,0Vfqu5dKaDWIZPDCILo40WbBoftx2IVpzfI1s9+5IoQ=,42,Male,USKYO9sJnzK072nCfRCSNQ==,Savings,437,Macedonia
45,OYFnu1nt6N4FbAanx6FCEw==,59,Female,vo9ENfQzMcGweH0ROQTlhw==,Savings,307,Norfolk Island
46,Wp3MUhtLcg0dPUNGpV1XHA==,28,Male,dNHCJGsYaM+OBnm9LJ7O+w==,Checking,796,Malaysia
47,+mjHU+cVZp5hKrlqAwoi8A==,25,Female,+gyBeDdLUyzsSR9d9oSh3g==,Checking,545,Turkey
48,omTkXwVsdBdckT5B/XYg7X3rt6WQmjdfQubzJjxZGYs=,25,Female,H6nnn349PXiNE/1ELJdFrA==,Savings,589,Kyrgyz Republic
49,ZSSaBAq1zO7LrxQRm8vegA==,69,Non-binary,vfYuNuNYIgWXw6PAz+Z4Sg==,Checking,531,Slovenia
50,SRZ48UVfZVvWfb23HLphhg==,45,Male,YbXNY7j8U1z81DpK1/mywA==,Business,419,Vietnam
51,vgtMCWAXYB1g1RgzNUrOOA==,44,Non-binary,jnjKVR65QTxiGcasFaHNCw==,Savings,379,Ireland
52,ErZM9V927eV5CnoanLq58A==,59,Non-binary,B9EUYAXwgwEvUzSsAVGtjQ==,Business,536,Slovakia (Slovak Republic)
53,UM6AS/mhXvmFDnVSUhCYlQ==,37,Male,xBtBAVWHShnRztmk1EDkCg==,Checking,599,Pitcairn Islands
54,Xsq0to9lOgAzS6Q6QQEsRw==,19,Non-binary,d2MizVc/ibmjlXW3rrJsfA==,Savings,649,Liechtenstein
55,jFOV6pSNtLpr40Mh2fMhNA==,35,Female,7Xj+Ir3rwiyFb8utGYwv2Q==,Checking,641,Peru
56,WzxmE8HEZA99r9Y8S31+gA==,19,Female,XfZw95ZRdodqkKrvToeORA==,Business,727,Madagascar
57,fUN0u8kTM/extFy3vHVyhA==,73,Non-binary,x3Pq83Ck2mNHX3VJSTjARw==,Savings,415,Cook Islands
58,dpnevwjy5qFdsJE4ogXMXw==,42,Male,1+fvrnLp3Bl3sblCEVYZig==,Savings,499,Switzerland
59,ZM8xXcdDfOMRvwImn4a70g==,72,Female,MrpYpb+TYkGgrshrtXyKTw==,Business,831,Djibouti
60,WGpvoqTNomLq0CyQH2h+Ug==,79,Female,OoAw9odLoL2cxGY3WrzuOg==,Checking,311,Pitcairn Islands
